GeneSet	BM448.CG2.LUC.mCherry.no71	BM449.CG2.LUC.mCherry.no75	BM455.CG2.LUC.mCherry.no84	BM462.CG2.LUC.mCherry.no98	BM472.CG2.RAS.mCherry.no77	BM508.CG2.RAS.mCherry.no79	BM522.CG2.RAS.mCherry.no70	BM458.MIC.LUC.mCherry.no102	BM474.MIC.LUC.mCherry.no106	BM485.MIC.LUC.mCherry.no110
Adora2b	1.39	0.36	0.25	0.35	0.59	0.21	0.45	3.69	1.35	3.04
Adora2a	21.93	16.27	6.23	10.28	13.95	6.74	22.13	2.66	5.12	2.69
Gm4340	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrp1	140.64	150.74	120.77	130.4	152.47	144.47	146.44	58.32	99.09	73.11
Gm20747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam50a	32.99	33.59	34.65	38.12	38.63	45.12	40.95	29.42	31.54	36.96
Gm5678	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0
Fam50b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps35	81.39	81.43	112.92	94.02	91.03	94.27	75.16	49.73	48.92	68.58
Elk1	3.34	4.16	2.61	4.69	6.92	3.15	4.22	4.49	3.72	5.49
Vps36	22.73	28.22	25.61	30.88	32.17	22.26	28.33	18.79	26.96	23.51
Cyb561d2	12.62	11.17	8.65	10.42	15.61	10.42	13.76	4.82	5.76	5.07
Elk3	10.33	13.13	7.24	16.09	34.55	7.33	29.16	14.37	19.26	15.26
9530002B09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrp9	44.74	43.88	40.75	54.0	70.94	58.48	66.92	13.27	26.13	14.82
Cyb561d1	7.59	9.22	6.6	8.8	7.17	6.39	7.36	10.95	6.19	12.61
Vps39	19.46	22.6	17.12	23.15	29.54	19.84	28.67	12.99	24.32	22.33
Rrp8	25.62	23.14	23.43	28.48	28.18	32.04	40.99	12.6	19.87	12.98
Vps29	97.43	95.9	91.42	81.63	103.23	94.45	94.75	39.99	40.53	59.63
Elk4	84.6	87.95	63.97	82.97	60.59	48.66	65.47	45.67	54.39	52.42
Abcb6	38.15	41.46	47.61	49.8	39.56	68.98	33.26	5.98	20.72	24.96
Abcb7	30.99	30.87	34.94	38.71	31.94	27.4	23.37	18.08	18.01	25.66
Abcb4	37.53	38.54	72.53	21.79	82.21	78.26	32.19	6.54	36.63	30.05
Abcb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3005	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03	0.0	0.0
Osbpl11	8.0	8.43	8.85	9.43	9.73	7.7	8.26	12.8	11.31	17.81
Tcp11l1	2.44	2.47	0.65	1.25	6.19	1.91	1.88	2.84	9.02	4.48
Abcb8	19.5	16.54	18.91	19.67	28.79	16.61	22.42	4.27	10.09	8.36
Osbpl10	0.09	0.11	0.0	0.0	0.05	0.0	0.26	0.0	0.0	0.03
Gm3002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tcp11l2	47.67	46.24	46.62	33.11	31.06	78.46	50.97	78.26	76.63	100.73
Abcb9	1.35	1.62	1.01	1.25	2.79	5.22	1.84	1.16	2.33	3.74
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcnx3	20.15	22.56	18.3	27.04	28.38	17.82	16.77	19.13	22.34	21.43
Pcnx4	7.6	4.84	5.0	4.41	3.46	3.63	10.03	0.66	3.62	1.01
Pcnx2	0.06	0.93	0.18	0.83	0.0	0.22	0.9	0.0	0.1	0.0
Gm4353	0.0	0.0	0.89	0.74	0.2	0.27	0.52	0.12	0.25	0.58
Thegl	0.0	0.0	0.14	0.0	0.0	0.27	0.0	0.03	0.04	0.0
Gm20737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hus1	13.94	17.68	15.47	18.19	14.1	15.28	12.25	8.37	10.56	9.22
Gm20738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps25	116.35	140.84	107.04	131.4	138.22	103.23	135.01	45.15	64.5	69.12
Abcc3	0.44	0.79	0.5	0.2	0.8	1.1	0.03	0.55	0.43	0.75
Chid1	22.32	19.99	21.62	27.73	42.77	17.06	28.23	6.62	9.69	11.79
Vps18	6.63	6.81	6.44	6.22	6.25	6.64	5.02	8.8	10.4	10.68
Gm32742	0.11	0.14	0.14	0.07	0.19	0.04	0.02	0.02	1.93	0.03
Abcc4	22.36	32.9	21.88	45.23	35.48	27.29	23.04	13.01	11.22	17.93
Abcc1	31.78	40.24	18.0	29.2	29.8	18.49	45.19	12.12	17.61	13.05
Abcc2	0.13	0.02	0.26	0.0	0.33	0.0	0.09	0.65	0.34	1.32
Abcc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.08
Abcc5	27.01	47.37	19.48	35.36	42.42	35.34	29.43	40.68	33.35	44.14
